,I,pval_norm,var_norm,pval_norm_fdr_bh
Mbp,0.7883319203229961,0.0,0.00013073339,0.0
Slc17a7,0.7752640495694558,0.0,0.00013073339,0.0
Nrgn,0.7432754438188457,0.0,0.00013073339,0.0
Cck,0.727492376754357,0.0,0.00013073339,0.0
Itpka,0.6979894981842566,0.0,0.00013073339,0.0
Mobp,0.6961809105710851,0.0,0.00013073339,0.0
Camk2n1,0.694697815304736,0.0,0.00013073339,0.0
Plp1,0.6894777516994925,0.0,0.00013073339,0.0
Baiap3,0.6890793827733557,0.0,0.00013073339,0.0
Ddn,0.6814640061191043,0.0,0.00013073339,0.0
Agt,0.6778615556813243,0.0,0.00013073339,0.0
Hcrt,0.6740765082577794,0.0,0.00013073339,0.0
Gal,0.671773026670337,0.0,0.00013073339,0.0
Tcf7l2,0.6668370752234885,0.0,0.00013073339,0.0
Agrp,0.6618434134433796,0.0,0.00013073339,0.0
Fezf1,0.6615502703876329,0.0,0.00013073339,0.0
Prkcd,0.6613114225559996,0.0,0.00013073339,0.0
Ttr,0.6545902826754995,0.0,0.00013073339,0.0
Shox2,0.6511924200090375,0.0,0.00013073339,0.0
Olfm1,0.6450544950488607,0.0,0.00013073339,0.0
